InstanceType,vCPU,memory,savings_on_demand,freq_interruption,os,zone
r3.4xlarge,16,122.0,55%,<5%,Windows,us-east-1
r3.8xlarge,32,244.0,61%,<5%,Windows,us-east-1
r4.large,2,15.25,44%,<5%,Windows,us-east-1
r4.xlarge,4,30.5,44%,<5%,Windows,us-east-1
r4.2xlarge,8,61.0,44%,<5%,Windows,us-east-1
r4.4xlarge,16,122.0,44%,<5%,Windows,us-east-1
r4.8xlarge,32,244.0,44%,<5%,Windows,us-east-1
r4.16xlarge,64,488.0,44%,<5%,Windows,us-east-1
r5.large,2,16.0,41%,<5%,Windows,us-east-1
r5.xlarge,4,32.0,41%,<5%,Windows,us-east-1
r5.2xlarge,8,64.0,41%,10-15%,Windows,us-east-1
r5.4xlarge,16,128.0,41%,5-10%,Windows,us-east-1
r5.12xlarge,48,384.0,41%,<5%,Windows,us-east-1
r5.24xlarge,96,768.0,41%,<5%,Windows,us-east-1
r5.metal,96,768.0,47%,5-10%,Windows,us-east-1
r5a.large,2,16.0,38%,10-15%,Windows,us-east-1
r5a.xlarge,4,32.0,38%,5-10%,Windows,us-east-1
r5a.2xlarge,8,64.0,38%,15-20%,Windows,us-east-1
r5a.4xlarge,16,128.0,38%,15-20%,Windows,us-east-1
r5a.12xlarge,48,384.0,38%,>20%,Windows,us-east-1
r5a.24xlarge,96,768.0,38%,15-20%,Windows,us-east-1
r5ad.large,2,16.0,29%,<5%,Windows,us-east-1
r5ad.xlarge,4,32.0,9%,<5%,Windows,us-east-1
r5ad.2xlarge,8,64.0,43%,<5%,Windows,us-east-1
r5ad.4xlarge,16,128.0,0%,<5%,Windows,us-east-1
r5ad.12xlarge,48,384.0,0%,<5%,Windows,us-east-1
r5ad.24xlarge,96,768.0,33%,>20%,Windows,us-east-1
r5d.large,2,16.0,46%,<5%,Windows,us-east-1
r5d.xlarge,4,32.0,46%,10-15%,Windows,us-east-1
r5d.2xlarge,8,64.0,46%,5-10%,Windows,us-east-1
r5d.4xlarge,16,128.0,46%,5-10%,Windows,us-east-1
r5d.12xlarge,48,384.0,46%,15-20%,Windows,us-east-1
r5d.24xlarge,96,768.0,46%,15-20%,Windows,us-east-1
r5d.metal,96,768.0,51%,>20%,Windows,us-east-1
t1.micro,1,0.61,90%,<5%,Windows,us-east-1
t2.micro,1,1.0,50%,<5%,Windows,us-east-1
t2.small,1,2.0,50%,<5%,Windows,us-east-1
t2.medium,2,4.0,50%,<5%,Windows,us-east-1
t2.large,2,8.0,54%,<5%,Windows,us-east-1
t2.xlarge,4,16.0,57%,<5%,Windows,us-east-1
t2.2xlarge,8,32.0,60%,<5%,Windows,us-east-1
t3.nano,2,0.5,37%,<5%,Windows,us-east-1
t3.micro,2,1.0,37%,5-10%,Windows,us-east-1
t3.small,2,2.0,37%,5-10%,Windows,us-east-1
t3.medium,2,4.0,48%,<5%,Windows,us-east-1
t3.large,2,8.0,52%,5-10%,Windows,us-east-1
t3.xlarge,4,16.0,48%,<5%,Windows,us-east-1
t3.2xlarge,8,32.0,48%,<5%,Windows,us-east-1
t3a.nano,2,0.5,35%,10-15%,Windows,us-east-1
t3a.micro,2,1.0,35%,10-15%,Windows,us-east-1
t3a.small,2,2.0,35%,10-15%,Windows,us-east-1
t3a.medium,2,4.0,47%,<5%,Windows,us-east-1
t3a.large,2,8.0,51%,5-10%,Windows,us-east-1
t3a.xlarge,4,16.0,47%,10-15%,Windows,us-east-1
t3a.2xlarge,8,32.0,47%,10-15%,Windows,us-east-1
x1.16xlarge,64,976.0,49%,5-10%,Windows,us-east-1
x1.32xlarge,128,1952.0,49%,5-10%,Windows,us-east-1
x1e.xlarge,4,122.0,57%,10-15%,Windows,us-east-1
x1e.2xlarge,8,244.0,57%,<5%,Windows,us-east-1
x1e.4xlarge,16,488.0,57%,15-20%,Windows,us-east-1
x1e.8xlarge,32,976.0,57%,>20%,Windows,us-east-1
x1e.16xlarge,64,1952.0,57%,>20%,Windows,us-east-1
x1e.32xlarge,128,3904.0,57%,<5%,Windows,us-east-1
z1d.large,2,16.0,0%,<5%,Windows,us-east-1
z1d.xlarge,4,32.0,0%,<5%,Windows,us-east-1
z1d.2xlarge,8,64.0,47%,<5%,Windows,us-east-1
z1d.3xlarge,12,96.0,0%,<5%,Windows,us-east-1
z1d.6xlarge,24,192.0,47%,<5%,Windows,us-east-1
z1d.12xlarge,48,384.0,0%,<5%,Windows,us-east-1
z1d.metal,48,384.0,0%,<5%,Windows,us-east-1
a1.medium,1,2.0,67%,<5%,Linux/UNIX,us-east-1
a1.large,2,4.0,67%,<5%,Linux/UNIX,us-east-1
a1.xlarge,4,8.0,67%,<5%,Linux/UNIX,us-east-1
a1.2xlarge,8,16.0,67%,<5%,Linux/UNIX,us-east-1
a1.4xlarge,16,32.0,67%,<5%,Linux/UNIX,us-east-1
c1.medium,2,1.7,90%,<5%,Linux/UNIX,us-east-1
c1.xlarge,8,7.0,85%,>20%,Linux/UNIX,us-east-1
c3.large,2,3.75,72%,<5%,Linux/UNIX,us-east-1
c3.xlarge,4,7.5,72%,<5%,Linux/UNIX,us-east-1
c3.2xlarge,8,15.0,72%,<5%,Linux/UNIX,us-east-1
c3.4xlarge,16,30.0,72%,<5%,Linux/UNIX,us-east-1
c3.8xlarge,32,60.0,72%,<5%,Linux/UNIX,us-east-1
c4.large,2,3.75,69%,<5%,Linux/UNIX,us-east-1
c4.xlarge,4,7.5,69%,<5%,Linux/UNIX,us-east-1
c4.2xlarge,8,15.0,69%,<5%,Linux/UNIX,us-east-1
c4.4xlarge,16,30.0,69%,<5%,Linux/UNIX,us-east-1
c4.8xlarge,36,60.0,68%,<5%,Linux/UNIX,us-east-1
c5.large,2,4.0,62%,<5%,Linux/UNIX,us-east-1
c5.xlarge,4,8.0,62%,5-10%,Linux/UNIX,us-east-1
c5.2xlarge,8,16.0,60%,10-15%,Linux/UNIX,us-east-1
c5.4xlarge,16,32.0,62%,5-10%,Linux/UNIX,us-east-1
c5.9xlarge,36,72.0,62%,5-10%,Linux/UNIX,us-east-1
c5.18xlarge,72,144.0,62%,<5%,Linux/UNIX,us-east-1
c5d.large,2,4.0,66%,5-10%,Linux/UNIX,us-east-1
c5d.xlarge,4,8.0,66%,<5%,Linux/UNIX,us-east-1
c5d.2xlarge,8,16.0,63%,>20%,Linux/UNIX,us-east-1
c5d.4xlarge,16,32.0,66%,>20%,Linux/UNIX,us-east-1
c5d.9xlarge,36,72.0,65%,5-10%,Linux/UNIX,us-east-1
c5d.18xlarge,72,144.0,66%,15-20%,Linux/UNIX,us-east-1
c5n.large,2,5.25,70%,10-15%,Linux/UNIX,us-east-1
c5n.xlarge,4,10.5,70%,>20%,Linux/UNIX,us-east-1
c5n.2xlarge,8,21.0,70%,>20%,Linux/UNIX,us-east-1
c5n.4xlarge,16,42.0,70%,>20%,Linux/UNIX,us-east-1
c5n.9xlarge,36,96.0,70%,>20%,Linux/UNIX,us-east-1
c5n.18xlarge,72,192.0,70%,>20%,Linux/UNIX,us-east-1
d2.xlarge,4,30.5,70%,5-10%,Linux/UNIX,us-east-1
d2.2xlarge,8,61.0,70%,15-20%,Linux/UNIX,us-east-1
d2.4xlarge,16,122.0,70%,<5%,Linux/UNIX,us-east-1
d2.8xlarge,36,244.0,70%,>20%,Linux/UNIX,us-east-1
f1.2xlarge,8,122.0,70%,>20%,Linux/UNIX,us-east-1
f1.4xlarge,16,244.0,70%,>20%,Linux/UNIX,us-east-1
f1.16xlarge,64,976.0,70%,>20%,Linux/UNIX,us-east-1
g2.2xlarge,8,15.0,70%,<5%,Linux/UNIX,us-east-1
g2.8xlarge,32,60.0,70%,<5%,Linux/UNIX,us-east-1
g3.4xlarge,16,122.0,67%,10-15%,Linux/UNIX,us-east-1
g3.8xlarge,32,244.0,70%,>20%,Linux/UNIX,us-east-1
g3.16xlarge,64,488.0,70%,5-10%,Linux/UNIX,us-east-1
g3s.xlarge,4,30.5,70%,>20%,Linux/UNIX,us-east-1
h1.2xlarge,8,32.0,65%,>20%,Linux/UNIX,us-east-1
h1.8xlarge,32,128.0,65%,>20%,Linux/UNIX,us-east-1
i2.xlarge,4,30.5,70%,<5%,Linux/UNIX,us-east-1
i2.2xlarge,8,61.0,70%,<5%,Linux/UNIX,us-east-1
i2.4xlarge,16,122.0,70%,<5%,Linux/UNIX,us-east-1
i2.8xlarge,32,244.0,70%,15-20%,Linux/UNIX,us-east-1
i3.large,2,15.25,70%,<5%,Linux/UNIX,us-east-1
i3.xlarge,4,30.5,70%,<5%,Linux/UNIX,us-east-1
i3.2xlarge,8,61.0,70%,<5%,Linux/UNIX,us-east-1
i3.4xlarge,16,122.0,67%,<5%,Linux/UNIX,us-east-1
