InstanceType,vCPU,memory,savings_on_demand,freq_interruption,os,zone
m4.xlarge,4,16.0,81%,>20%,Linux/UNIX,us-east-2
m4.2xlarge,8,32.0,79%,>20%,Linux/UNIX,us-east-2
m4.4xlarge,16,64.0,80%,>20%,Linux/UNIX,us-east-2
m4.10xlarge,40,160.0,79%,15-20%,Linux/UNIX,us-east-2
m4.16xlarge,64,256.0,81%,>20%,Linux/UNIX,us-east-2
m5.large,2,8.0,79%,<5%,Linux/UNIX,us-east-2
m5.xlarge,4,16.0,79%,<5%,Linux/UNIX,us-east-2
m5.2xlarge,8,32.0,78%,>20%,Linux/UNIX,us-east-2
m5.4xlarge,16,64.0,79%,>20%,Linux/UNIX,us-east-2
m5.12xlarge,48,192.0,79%,>20%,Linux/UNIX,us-east-2
m5.24xlarge,96,384.0,79%,>20%,Linux/UNIX,us-east-2
m5.metal,96,384.0,81%,>20%,Linux/UNIX,us-east-2
m5a.large,2,8.0,77%,5-10%,Linux/UNIX,us-east-2
m5a.xlarge,4,16.0,77%,5-10%,Linux/UNIX,us-east-2
m5a.2xlarge,8,32.0,77%,>20%,Linux/UNIX,us-east-2
m5a.4xlarge,16,64.0,77%,>20%,Linux/UNIX,us-east-2
m5a.12xlarge,48,192.0,0%,<5%,Linux/UNIX,us-east-2
m5a.24xlarge,96,384.0,0%,<5%,Linux/UNIX,us-east-2
m5ad.large,2,8.0,81%,10-15%,Linux/UNIX,us-east-2
m5ad.xlarge,4,16.0,81%,>20%,Linux/UNIX,us-east-2
m5ad.2xlarge,8,32.0,39%,<5%,Linux/UNIX,us-east-2
m5ad.4xlarge,16,64.0,25%,<5%,Linux/UNIX,us-east-2
m5ad.12xlarge,48,192.0,0%,<5%,Linux/UNIX,us-east-2
m5ad.24xlarge,96,384.0,28%,<5%,Linux/UNIX,us-east-2
m5d.large,2,8.0,82%,5-10%,Linux/UNIX,us-east-2
m5d.xlarge,4,16.0,82%,5-10%,Linux/UNIX,us-east-2
m5d.2xlarge,8,32.0,82%,>20%,Linux/UNIX,us-east-2
m5d.4xlarge,16,64.0,82%,>20%,Linux/UNIX,us-east-2
m5d.12xlarge,48,192.0,82%,15-20%,Linux/UNIX,us-east-2
m5d.24xlarge,96,384.0,82%,>20%,Linux/UNIX,us-east-2
m5d.metal,96,384.0,84%,>20%,Linux/UNIX,us-east-2
p2.xlarge,4,61.0,70%,<5%,Linux/UNIX,us-east-2
p2.8xlarge,32,488.0,70%,>20%,Linux/UNIX,us-east-2
p3.2xlarge,8,61.0,59%,>20%,Linux/UNIX,us-east-2
p3.8xlarge,32,244.0,68%,>20%,Linux/UNIX,us-east-2
p3.16xlarge,64,488.0,70%,10-15%,Linux/UNIX,us-east-2
r3.large,2,15.25,89%,5-10%,Linux/UNIX,us-east-2
r3.xlarge,4,30.5,89%,5-10%,Linux/UNIX,us-east-2
r3.2xlarge,8,61.0,88%,<5%,Linux/UNIX,us-east-2
r3.4xlarge,16,122.0,89%,10-15%,Linux/UNIX,us-east-2
r3.8xlarge,32,244.0,89%,>20%,Linux/UNIX,us-east-2
r4.large,2,15.25,85%,<5%,Linux/UNIX,us-east-2
r4.xlarge,4,30.5,85%,<5%,Linux/UNIX,us-east-2
r4.2xlarge,8,61.0,85%,<5%,Linux/UNIX,us-east-2
r4.4xlarge,16,122.0,85%,5-10%,Linux/UNIX,us-east-2
r4.8xlarge,32,244.0,85%,>20%,Linux/UNIX,us-east-2
r4.16xlarge,64,488.0,82%,>20%,Linux/UNIX,us-east-2
r5.large,2,16.0,83%,<5%,Linux/UNIX,us-east-2
r5.xlarge,4,32.0,83%,5-10%,Linux/UNIX,us-east-2
r5.2xlarge,8,64.0,82%,>20%,Linux/UNIX,us-east-2
r5.4xlarge,16,128.0,83%,>20%,Linux/UNIX,us-east-2
r5.12xlarge,48,384.0,83%,>20%,Linux/UNIX,us-east-2
r5.24xlarge,96,768.0,83%,>20%,Linux/UNIX,us-east-2
r5.metal,96,768.0,89%,>20%,Linux/UNIX,us-east-2
r5a.large,2,16.0,82%,10-15%,Linux/UNIX,us-east-2
r5a.xlarge,4,32.0,82%,<5%,Linux/UNIX,us-east-2
r5a.2xlarge,8,64.0,82%,15-20%,Linux/UNIX,us-east-2
r5a.4xlarge,16,128.0,82%,>20%,Linux/UNIX,us-east-2
r5a.12xlarge,48,384.0,69%,<5%,Linux/UNIX,us-east-2
r5a.24xlarge,96,768.0,82%,>20%,Linux/UNIX,us-east-2
r5ad.large,2,16.0,84%,10-15%,Linux/UNIX,us-east-2
r5ad.xlarge,4,32.0,51%,<5%,Linux/UNIX,us-east-2
r5ad.2xlarge,8,64.0,67%,<5%,Linux/UNIX,us-east-2
r5ad.4xlarge,16,128.0,0%,<5%,Linux/UNIX,us-east-2
r5ad.12xlarge,48,384.0,0%,<5%,Linux/UNIX,us-east-2
r5ad.24xlarge,96,768.0,33%,<5%,Linux/UNIX,us-east-2
r5d.large,2,16.0,85%,10-15%,Linux/UNIX,us-east-2
r5d.xlarge,4,32.0,85%,10-15%,Linux/UNIX,us-east-2
r5d.2xlarge,8,64.0,85%,>20%,Linux/UNIX,us-east-2
r5d.4xlarge,16,128.0,85%,15-20%,Linux/UNIX,us-east-2
r5d.12xlarge,48,384.0,85%,>20%,Linux/UNIX,us-east-2
r5d.24xlarge,96,768.0,85%,>20%,Linux/UNIX,us-east-2
r5d.metal,96,768.0,87%,>20%,Linux/UNIX,us-east-2
t2.micro,1,1.0,70%,<5%,Linux/UNIX,us-east-2
t2.small,1,2.0,70%,5-10%,Linux/UNIX,us-east-2
t2.medium,2,4.0,70%,<5%,Linux/UNIX,us-east-2
t2.large,2,8.0,70%,<5%,Linux/UNIX,us-east-2
t2.xlarge,4,16.0,70%,<5%,Linux/UNIX,us-east-2
t2.2xlarge,8,32.0,70%,<5%,Linux/UNIX,us-east-2
t3.nano,2,0.5,69%,5-10%,Linux/UNIX,us-east-2
t3.micro,2,1.0,70%,<5%,Linux/UNIX,us-east-2
t3.small,2,2.0,70%,5-10%,Linux/UNIX,us-east-2
t3.medium,2,4.0,70%,10-15%,Linux/UNIX,us-east-2
t3.large,2,8.0,70%,<5%,Linux/UNIX,us-east-2
t3.xlarge,4,16.0,70%,5-10%,Linux/UNIX,us-east-2
t3.2xlarge,8,32.0,70%,5-10%,Linux/UNIX,us-east-2
t3a.nano,2,0.5,66%,<5%,Linux/UNIX,us-east-2
t3a.micro,2,1.0,70%,10-15%,Linux/UNIX,us-east-2
t3a.small,2,2.0,70%,<5%,Linux/UNIX,us-east-2
t3a.medium,2,4.0,70%,10-15%,Linux/UNIX,us-east-2
t3a.large,2,8.0,70%,5-10%,Linux/UNIX,us-east-2
t3a.xlarge,4,16.0,70%,10-15%,Linux/UNIX,us-east-2
t3a.2xlarge,8,32.0,70%,5-10%,Linux/UNIX,us-east-2
x1.16xlarge,64,976.0,70%,10-15%,Linux/UNIX,us-east-2
x1.32xlarge,128,1952.0,70%,10-15%,Linux/UNIX,us-east-2
c4.large,2,3.75,43%,<5%,Windows,us-east-2
c4.xlarge,4,7.5,43%,>20%,Windows,us-east-2
c4.2xlarge,8,15.0,43%,5-10%,Windows,us-east-2
c4.4xlarge,16,30.0,43%,10-15%,Windows,us-east-2
c4.8xlarge,36,60.0,42%,>20%,Windows,us-east-2
c5.large,2,4.0,37%,5-10%,Windows,us-east-2
c5.xlarge,4,8.0,37%,5-10%,Windows,us-east-2
c5.2xlarge,8,16.0,37%,>20%,Windows,us-east-2
c5.4xlarge,16,32.0,37%,<5%,Windows,us-east-2
c5.9xlarge,36,72.0,37%,5-10%,Windows,us-east-2
c5.18xlarge,72,144.0,37%,5-10%,Windows,us-east-2
c5d.large,2,4.0,41%,10-15%,Windows,us-east-2
c5d.xlarge,4,8.0,41%,<5%,Windows,us-east-2
c5d.2xlarge,8,16.0,41%,<5%,Windows,us-east-2
c5d.4xlarge,16,32.0,41%,5-10%,Windows,us-east-2
c5d.9xlarge,36,72.0,41%,5-10%,Windows,us-east-2
c5d.18xlarge,72,144.0,41%,5-10%,Windows,us-east-2
c5n.large,2,5.25,45%,5-10%,Windows,us-east-2
c5n.xlarge,4,10.5,45%,15-20%,Windows,us-east-2
c5n.2xlarge,8,21.0,0%,<5%,Windows,us-east-2
c5n.4xlarge,16,42.0,45%,>20%,Windows,us-east-2
c5n.9xlarge,36,96.0,0%,<5%,Windows,us-east-2
c5n.18xlarge,72,192.0,44%,>20%,Windows,us-east-2
d2.xlarge,4,30.5,59%,>20%,Windows,us-east-2
d2.2xlarge,8,61.0,60%,>20%,Windows,us-east-2
d2.4xlarge,16,122.0,63%,>20%,Windows,us-east-2
d2.8xlarge,36,244.0,62%,10-15%,Windows,us-east-2
g3.4xlarge,16,122.0,43%,>20%,Windows,us-east-2
g3.8xlarge,32,244.0,43%,>20%,Windows,us-east-2
g3.16xlarge,64,488.0,0%,<5%,Windows,us-east-2
g3s.xlarge,4,30.5,56%,>20%,Windows,us-east-2
i2.xlarge,4,30.5,61%,>20%,Windows,us-east-2
i2.2xlarge,8,61.0,61%,>20%,Windows,us-east-2
i2.4xlarge,16,122.0,61%,<5%,Windows,us-east-2
i2.8xlarge,32,244.0,61%,>20%,Windows,us-east-2
m4.large,2,8.0,42%,<5%,Windows,us-east-2
m4.xlarge,4,16.0,42%,5-10%,Windows,us-east-2
m4.2xlarge,8,32.0,42%,10-15%,Windows,us-east-2
m4.4xlarge,16,64.0,42%,>20%,Windows,us-east-2
m4.10xlarge,40,160.0,42%,10-15%,Windows,us-east-2
m4.16xlarge,64,256.0,42%,10-15%,Windows,us-east-2
m5.large,2,8.0,40%,15-20%,Windows,us-east-2
m5.xlarge,4,16.0,40%,5-10%,Windows,us-east-2
m5.2xlarge,8,32.0,40%,10-15%,Windows,us-east-2
m5.4xlarge,16,64.0,40%,5-10%,Windows,us-east-2
m5.12xlarge,48,192.0,40%,5-10%,Windows,us-east-2
m5.24xlarge,96,384.0,40%,10-15%,Windows,us-east-2
m5.metal,96,384.0,44%,10-15%,Windows,us-east-2
m5a.large,2,8.0,37%,5-10%,Windows,us-east-2
m5a.xlarge,4,16.0,37%,5-10%,Windows,us-east-2
m5a.2xlarge,8,32.0,37%,15-20%,Windows,us-east-2
m5a.4xlarge,16,64.0,37%,>20%,Windows,us-east-2
m5a.12xlarge,48,192.0,0%,<5%,Windows,us-east-2
m5a.24xlarge,96,384.0,2%,<5%,Windows,us-east-2
m5ad.large,2,8.0,43%,15-20%,Windows,us-east-2
m5ad.xlarge,4,16.0,43%,>20%,Windows,us-east-2
m5ad.2xlarge,8,32.0,21%,<5%,Windows,us-east-2
m5ad.4xlarge,16,64.0,11%,<5%,Windows,us-east-2
m5ad.12xlarge,48,192.0,0%,<5%,Windows,us-east-2
m5ad.24xlarge,96,384.0,13%,<5%,Windows,us-east-2
m5d.large,2,8.0,45%,<5%,Windows,us-east-2
m5d.xlarge,4,16.0,45%,10-15%,Windows,us-east-2
m5d.2xlarge,8,32.0,45%,5-10%,Windows,us-east-2
m5d.4xlarge,16,64.0,45%,>20%,Windows,us-east-2
m5d.12xlarge,48,192.0,45%,10-15%,Windows,us-east-2
m5d.24xlarge,96,384.0,45%,15-20%,Windows,us-east-2
m5d.metal,96,384.0,49%,5-10%,Windows,us-east-2
p2.xlarge,4,61.0,58%,<5%,Windows,us-east-2
p3.2xlarge,8,61.0,61%,>20%,Windows,us-east-2
r3.large,2,15.25,62%,>20%,Windows,us-east-2
r3.xlarge,4,30.5,62%,>20%,Windows,us-east-2
r3.2xlarge,8,61.0,58%,15-20%,Windows,us-east-2
r3.4xlarge,16,122.0,61%,10-15%,Windows,us-east-2
r3.8xlarge,32,244.0,67%,5-10%,Windows,us-east-2
r4.large,2,15.25,50%,15-20%,Windows,us-east-2
r4.xlarge,4,30.5,50%,5-10%,Windows,us-east-2
r4.2xlarge,8,61.0,50%,10-15%,Windows,us-east-2
r4.4xlarge,16,122.0,50%,<5%,Windows,us-east-2
r4.8xlarge,32,244.0,50%,10-15%,Windows,us-east-2
r4.16xlarge,64,488.0,50%,5-10%,Windows,us-east-2
r5.large,2,16.0,48%,5-10%,Windows,us-east-2
r5.xlarge,4,32.0,48%,10-15%,Windows,us-east-2
r5.2xlarge,8,64.0,48%,<5%,Windows,us-east-2
r5.4xlarge,16,128.0,48%,15-20%,Windows,us-east-2
r5.12xlarge,48,384.0,48%,>20%,Windows,us-east-2
r5.24xlarge,96,768.0,48%,15-20%,Windows,us-east-2
r5.metal,96,768.0,51%,>20%,Windows,us-east-2
r5a.large,2,16.0,45%,5-10%,Windows,us-east-2
r5a.xlarge,4,32.0,45%,5-10%,Windows,us-east-2
r5a.2xlarge,8,64.0,45%,10-15%,Windows,us-east-2
r5a.4xlarge,16,128.0,45%,10-15%,Windows,us-east-2
r5a.12xlarge,48,384.0,38%,<5%,Windows,us-east-2
r5a.24xlarge,96,768.0,45%,<5%,Windows,us-east-2
r5ad.large,2,16.0,49%,10-15%,Windows,us-east-2
r5ad.xlarge,4,32.0,30%,<5%,Windows,us-east-2
r5ad.2xlarge,8,64.0,39%,<5%,Windows,us-east-2
r5ad.4xlarge,16,128.0,0%,<5%,Windows,us-east-2
r5ad.12xlarge,48,384.0,0%,<5%,Windows,us-east-2
r5ad.24xlarge,96,768.0,20%,<5%,Windows,us-east-2
r5d.large,2,16.0,52%,5-10%,Windows,us-east-2
r5d.xlarge,4,32.0,52%,5-10%,Windows,us-east-2
r5d.2xlarge,8,64.0,52%,10-15%,Windows,us-east-2
r5d.4xlarge,16,128.0,52%,10-15%,Windows,us-east-2
r5d.12xlarge,48,384.0,52%,10-15%,Windows,us-east-2
r5d.24xlarge,96,768.0,52%,>20%,Windows,us-east-2
r5d.metal,96,768.0,55%,>20%,Windows,us-east-2
t2.micro,1,1.0,50%,10-15%,Windows,us-east-2
t2.small,1,2.0,50%,15-20%,Windows,us-east-2
t2.medium,2,4.0,50%,5-10%,Windows,us-east-2
t2.large,2,8.0,54%,5-10%,Windows,us-east-2
t2.xlarge,4,16.0,57%,5-10%,Windows,us-east-2
t2.2xlarge,8,32.0,60%,5-10%,Windows,us-east-2
t3.nano,2,0.5,37%,5-10%,Windows,us-east-2
t3.micro,2,1.0,37%,10-15%,Windows,us-east-2
t3.small,2,2.0,37%,<5%,Windows,us-east-2
t3.medium,2,4.0,48%,>20%,Windows,us-east-2
t3.large,2,8.0,52%,<5%,Windows,us-east-2
t3.xlarge,4,16.0,48%,5-10%,Windows,us-east-2
t3.2xlarge,8,32.0,48%,5-10%,Windows,us-east-2
t3a.nano,2,0.5,35%,10-15%,Windows,us-east-2
t3a.micro,2,1.0,35%,10-15%,Windows,us-east-2
t3a.small,2,2.0,35%,10-15%,Windows,us-east-2
t3a.medium,2,4.0,47%,15-20%,Windows,us-east-2
t3a.large,2,8.0,51%,>20%,Windows,us-east-2
t3a.xlarge,4,16.0,47%,10-15%,Windows,us-east-2
t3a.2xlarge,8,32.0,47%,15-20%,Windows,us-east-2
x1.16xlarge,64,976.0,49%,10-15%,Windows,us-east-2
x1.32xlarge,128,1952.0,49%,5-10%,Windows,us-east-2
c1.medium,2,1.7,90%,>20%,Linux/UNIX,us-west-1
c1.xlarge,8,7.0,90%,<5%,Linux/UNIX,us-west-1
c3.large,2,3.75,77%,10-15%,Linux/UNIX,us-west-1
c3.xlarge,4,7.5,77%,<5%,Linux/UNIX,us-west-1
c3.2xlarge,8,15.0,77%,<5%,Linux/UNIX,us-west-1
c3.4xlarge,16,30.0,77%,<5%,Linux/UNIX,us-west-1
c3.8xlarge,32,60.0,77%,10-15%,Linux/UNIX,us-west-1
c4.large,2,3.75,76%,<5%,Linux/UNIX,us-west-1
c4.xlarge,4,7.5,76%,<5%,Linux/UNIX,us-west-1
c4.2xlarge,8,15.0,76%,<5%,Linux/UNIX,us-west-1
c4.4xlarge,16,30.0,76%,5-10%,Linux/UNIX,us-west-1
c4.8xlarge,36,60.0,76%,<5%,Linux/UNIX,us-west-1
c5.large,2,4.0,71%,<5%,Linux/UNIX,us-west-1
c5.xlarge,4,8.0,71%,<5%,Linux/UNIX,us-west-1
c5.2xlarge,8,16.0,68%,15-20%,Linux/UNIX,us-west-1
c5.4xlarge,16,32.0,71%,15-20%,Linux/UNIX,us-west-1
c5.9xlarge,36,72.0,71%,>20%,Linux/UNIX,us-west-1
c5.18xlarge,72,144.0,71%,<5%,Linux/UNIX,us-west-1
c5d.large,2,4.0,74%,10-15%,Linux/UNIX,us-west-1
c5d.xlarge,4,8.0,74%,15-20%,Linux/UNIX,us-west-1
c5d.2xlarge,8,16.0,72%,>20%,Linux/UNIX,us-west-1
c5d.4xlarge,16,32.0,71%,10-15%,Linux/UNIX,us-west-1
c5d.9xlarge,36,72.0,74%,10-15%,Linux/UNIX,us-west-1
c5d.18xlarge,72,144.0,74%,5-10%,Linux/UNIX,us-west-1
d2.xlarge,4,30.5,70%,>20%,Linux/UNIX,us-west-1
d2.2xlarge,8,61.0,70%,>20%,Linux/UNIX,us-west-1
d2.4xlarge,16,122.0,0%,<5%,Linux/UNIX,us-west-1
d2.8xlarge,36,244.0,70%,10-15%,Linux/UNIX,us-west-1
g2.2xlarge,8,15.0,70%,<5%,Linux/UNIX,us-west-1
g2.8xlarge,32,60.0,70%,>20%,Linux/UNIX,us-west-1
g3.4xlarge,16,122.0,59%,>20%,Linux/UNIX,us-west-1
g3.16xlarge,64,488.0,65%,<5%,Linux/UNIX,us-west-1
i2.xlarge,4,30.5,70%,10-15%,Linux/UNIX,us-west-1
i2.2xlarge,8,61.0,70%,10-15%,Linux/UNIX,us-west-1
i2.4xlarge,16,122.0,70%,10-15%,Linux/UNIX,us-west-1
i2.8xlarge,32,244.0,70%,>20%,Linux/UNIX,us-west-1
i3.large,2,15.25,70%,<5%,Linux/UNIX,us-west-1
i3.xlarge,4,30.5,67%,<5%,Linux/UNIX,us-west-1
i3.2xlarge,8,61.0,62%,<5%,Linux/UNIX,us-west-1
i3.4xlarge,16,122.0,70%,15-20%,Linux/UNIX,us-west-1
i3.8xlarge,32,244.0,70%,>20%,Linux/UNIX,us-west-1
i3.metal,72,512.0,70%,15-20%,Linux/UNIX,us-west-1
m1.small,1,1.7,90%,<5%,Linux/UNIX,us-west-1
m1.medium,1,3.75,90%,<5%,Linux/UNIX,us-west-1
m1.large,2,7.5,90%,<5%,Linux/UNIX,us-west-1
m1.xlarge,4,15.0,90%,<5%,Linux/UNIX,us-west-1
m2.xlarge,2,17.1,90%,<5%,Linux/UNIX,us-west-1
m2.2xlarge,4,34.2,90%,<5%,Linux/UNIX,us-west-1
m2.4xlarge,8,68.4,90%,<5%,Linux/UNIX,us-west-1
m3.medium,1,3.75,90%,<5%,Linux/UNIX,us-west-1
m3.large,2,7.5,81%,<5%,Linux/UNIX,us-west-1
m3.xlarge,4,15.0,81%,<5%,Linux/UNIX,us-west-1
m3.2xlarge,8,30.0,81%,<5%,Linux/UNIX,us-west-1
m4.large,2,8.0,74%,<5%,Linux/UNIX,us-west-1
m4.xlarge,4,16.0,74%,<5%,Linux/UNIX,us-west-1
m4.2xlarge,8,32.0,74%,<5%,Linux/UNIX,us-west-1
m4.4xlarge,16,64.0,74%,>20%,Linux/UNIX,us-west-1
m4.10xlarge,40,160.0,74%,5-10%,Linux/UNIX,us-west-1
m4.16xlarge,64,256.0,74%,>20%,Linux/UNIX,us-west-1
m5.large,2,8.0,71%,15-20%,Linux/UNIX,us-west-1
m5.xlarge,4,16.0,71%,10-15%,Linux/UNIX,us-west-1
m5.2xlarge,8,32.0,71%,15-20%,Linux/UNIX,us-west-1
m5.4xlarge,16,64.0,64%,>20%,Linux/UNIX,us-west-1
m5.12xlarge,48,192.0,71%,>20%,Linux/UNIX,us-west-1
m5.24xlarge,96,384.0,71%,>20%,Linux/UNIX,us-west-1
m5.metal,96,384.0,81%,10-15%,Linux/UNIX,us-west-1
m5d.large,2,8.0,76%,10-15%,Linux/UNIX,us-west-1
m5d.xlarge,4,16.0,76%,>20%,Linux/UNIX,us-west-1
m5d.2xlarge,8,32.0,76%,15-20%,Linux/UNIX,us-west-1
m5d.4xlarge,16,64.0,70%,>20%,Linux/UNIX,us-west-1
m5d.12xlarge,48,192.0,0%,<5%,Linux/UNIX,us-west-1
m5d.24xlarge,96,384.0,69%,>20%,Linux/UNIX,us-west-1
r3.large,2,15.25,83%,5-10%,Linux/UNIX,us-west-1
r3.xlarge,4,30.5,83%,<5%,Linux/UNIX,us-west-1
r3.2xlarge,8,61.0,83%,<5%,Linux/UNIX,us-west-1
r3.4xlarge,16,122.0,83%,<5%,Linux/UNIX,us-west-1
r3.8xlarge,32,244.0,83%,10-15%,Linux/UNIX,us-west-1
r4.large,2,15.25,78%,<5%,Linux/UNIX,us-west-1
r4.xlarge,4,30.5,78%,<5%,Linux/UNIX,us-west-1
r4.2xlarge,8,61.0,78%,<5%,Linux/UNIX,us-west-1
r4.4xlarge,16,122.0,74%,<5%,Linux/UNIX,us-west-1
r4.8xlarge,32,244.0,78%,15-20%,Linux/UNIX,us-west-1
r4.16xlarge,64,488.0,72%,>20%,Linux/UNIX,us-west-1
r5.large,2,16.0,76%,5-10%,Linux/UNIX,us-west-1
r5.xlarge,4,32.0,76%,5-10%,Linux/UNIX,us-west-1
r5.2xlarge,8,64.0,76%,>20%,Linux/UNIX,us-west-1
r5.4xlarge,16,128.0,76%,>20%,Linux/UNIX,us-west-1
r5.12xlarge,48,384.0,76%,>20%,Linux/UNIX,us-west-1
r5.24xlarge,96,768.0,76%,10-15%,Linux/UNIX,us-west-1
r5.metal,96,768.0,84%,10-15%,Linux/UNIX,us-west-1
r5d.large,2,16.0,79%,<5%,Linux/UNIX,us-west-1
r5d.xlarge,4,32.0,79%,15-20%,Linux/UNIX,us-west-1
r5d.2xlarge,8,64.0,79%,>20%,Linux/UNIX,us-west-1
r5d.4xlarge,16,128.0,73%,>20%,Linux/UNIX,us-west-1
r5d.12xlarge,48,384.0,0%,<5%,Linux/UNIX,us-west-1
r5d.24xlarge,96,768.0,18%,<5%,Linux/UNIX,us-west-1
r5d.metal,96,768.0,0%,<5%,Linux/UNIX,us-west-1
t1.micro,1,0.61,90%,<5%,Linux/UNIX,us-west-1
t2.micro,1,1.0,70%,5-10%,Linux/UNIX,us-west-1
t2.small,1,2.0,70%,5-10%,Linux/UNIX,us-west-1
t2.medium,2,4.0,70%,<5%,Linux/UNIX,us-west-1
t2.large,2,8.0,70%,10-15%,Linux/UNIX,us-west-1
t2.xlarge,4,16.0,70%,5-10%,Linux/UNIX,us-west-1
t2.2xlarge,8,32.0,70%,5-10%,Linux/UNIX,us-west-1
t3.nano,2,0.5,69%,<5%,Linux/UNIX,us-west-1
t3.micro,2,1.0,70%,<5%,Linux/UNIX,us-west-1
t3.small,2,2.0,70%,5-10%,Linux/UNIX,us-west-1
t3.medium,2,4.0,70%,15-20%,Linux/UNIX,us-west-1
t3.large,2,8.0,70%,10-15%,Linux/UNIX,us-west-1
t3.xlarge,4,16.0,70%,>20%,Linux/UNIX,us-west-1
t3.2xlarge,8,32.0,70%,10-15%,Linux/UNIX,us-west-1
z1d.large,2,16.0,0%,<5%,Linux/UNIX,us-west-1
z1d.xlarge,4,32.0,0%,<5%,Linux/UNIX,us-west-1
z1d.2xlarge,8,64.0,70%,10-15%,Linux/UNIX,us-west-1
z1d.3xlarge,12,96.0,70%,>20%,Linux/UNIX,us-west-1
z1d.6xlarge,24,192.0,64%,>20%,Linux/UNIX,us-west-1
z1d.12xlarge,48,384.0,0%,<5%,Linux/UNIX,us-west-1
z1d.metal,48,384.0,0%,<5%,Linux/UNIX,us-west-1
c3.large,2,3.75,49%,10-15%,Windows,us-west-1
c3.xlarge,4,7.5,49%,<5%,Windows,us-west-1
c3.2xlarge,8,15.0,49%,5-10%,Windows,us-west-1
c3.4xlarge,16,30.0,49%,15-20%,Windows,us-west-1
c3.8xlarge,32,60.0,49%,>20%,Windows,us-west-1
c4.large,2,3.75,44%,<5%,Windows,us-west-1
c4.xlarge,4,7.5,44%,10-15%,Windows,us-west-1
c4.2xlarge,8,15.0,44%,5-10%,Windows,us-west-1
c4.4xlarge,16,30.0,44%,10-15%,Windows,us-west-1
c4.8xlarge,36,60.0,43%,15-20%,Windows,us-west-1
c5.large,2,4.0,38%,15-20%,Windows,us-west-1
c5.xlarge,4,8.0,38%,15-20%,Windows,us-west-1
c5.2xlarge,8,16.0,38%,10-15%,Windows,us-west-1
c5.4xlarge,16,32.0,38%,15-20%,Windows,us-west-1
c5.9xlarge,36,72.0,38%,<5%,Windows,us-west-1
c5.18xlarge,72,144.0,38%,10-15%,Windows,us-west-1
c5d.large,2,4.0,42%,10-15%,Windows,us-west-1
c5d.xlarge,4,8.0,42%,10-15%,Windows,us-west-1
c5d.2xlarge,8,16.0,42%,10-15%,Windows,us-west-1
c5d.4xlarge,16,32.0,42%,10-15%,Windows,us-west-1
c5d.9xlarge,36,72.0,42%,5-10%,Windows,us-west-1
c5d.18xlarge,72,144.0,42%,10-15%,Windows,us-west-1
d2.xlarge,4,30.5,57%,>20%,Windows,us-west-1
d2.2xlarge,8,61.0,57%,5-10%,Windows,us-west-1
d2.4xlarge,16,122.0,0%,<5%,Windows,us-west-1
d2.8xlarge,36,244.0,55%,5-10%,Windows,us-west-1
g2.2xlarge,8,15.0,60%,<5%,Windows,us-west-1
g2.8xlarge,32,60.0,64%,<5%,Windows,us-west-1
g3.4xlarge,16,122.0,47%,<5%,Windows,us-west-1
i2.xlarge,4,30.5,62%,10-15%,Windows,us-west-1
i2.2xlarge,8,61.0,62%,5-10%,Windows,us-west-1
i2.4xlarge,16,122.0,62%,10-15%,Windows,us-west-1
i2.8xlarge,32,244.0,62%,10-15%,Windows,us-west-1
m1.small,1,1.7,54%,<5%,Windows,us-west-1
m1.medium,1,3.75,65%,<5%,Windows,us-west-1
m1.large,2,7.5,65%,<5%,Windows,us-west-1
m3.medium,1,3.75,62%,<5%,Windows,us-west-1
m3.large,2,7.5,57%,<5%,Windows,us-west-1
m3.xlarge,4,15.0,57%,<5%,Windows,us-west-1
m3.2xlarge,8,30.0,57%,<5%,Windows,us-west-1
m4.large,2,8.0,41%,5-10%,Windows,us-west-1
m4.xlarge,4,16.0,41%,<5%,Windows,us-west-1
m4.2xlarge,8,32.0,41%,<5%,Windows,us-west-1
m4.4xlarge,16,64.0,41%,15-20%,Windows,us-west-1
m4.10xlarge,40,160.0,41%,5-10%,Windows,us-west-1
m4.16xlarge,64,256.0,41%,10-15%,Windows,us-west-1
m5.large,2,8.0,39%,>20%,Windows,us-west-1
m5.xlarge,4,16.0,39%,>20%,Windows,us-west-1
m5.2xlarge,8,32.0,39%,15-20%,Windows,us-west-1
m5.4xlarge,16,64.0,39%,<5%,Windows,us-west-1
m5.12xlarge,48,192.0,39%,5-10%,Windows,us-west-1
m5.24xlarge,96,384.0,39%,15-20%,Windows,us-west-1
m5.metal,96,384.0,44%,15-20%,Windows,us-west-1
m5d.large,2,8.0,45%,10-15%,Windows,us-west-1
m5d.xlarge,4,16.0,45%,15-20%,Windows,us-west-1
m5d.2xlarge,8,32.0,45%,15-20%,Windows,us-west-1
m5d.4xlarge,16,64.0,45%,>20%,Windows,us-west-1
m5d.12xlarge,48,192.0,0%,<5%,Windows,us-west-1
m5d.24xlarge,96,384.0,45%,>20%,Windows,us-west-1
r3.large,2,15.25,62%,10-15%,Windows,us-west-1
r3.xlarge,4,30.5,61%,5-10%,Windows,us-west-1
r3.2xlarge,8,61.0,57%,<5%,Windows,us-west-1
r3.4xlarge,16,122.0,59%,<5%,Windows,us-west-1
r3.8xlarge,32,244.0,65%,<5%,Windows,us-west-1
r4.large,2,15.25,48%,10-15%,Windows,us-west-1
